,Account,Post,Tag,Likes,Comments
63,elisabethtrision,,[],367,[]
64,elisabethtrision,,[],379,[]
65,elisabethtrision,,[],384,[]
66,elisabethtrision,still proudly supporting WWF ,[],444,[]
67,elisabethtrision,Even miracles take a little time. -Disney,[],444,['Sendiri bae']
68,elisabethtrision,"YOU DID WELL HUMAN!!!  #Repost @abilhunter 

Sudan, the LAST living male Northern White Rhino left on this planet has passed away..

Sudans passing, after age related complications, leaves the Northern White rhino a step closer to complete extinction, with only his daughter and granddaughter still alive today.

Unknowingly to him, Sudan became a conservation icon, an ambassador for his species who helped highlight the threat of rhino horn poaching, which remains very real. His death should also act as a stark reminder of the need to protect our planets wildlife, including the many other lesser known species that, without greater protection, face extinction in our lifetime due to human activities...
#RIPSudan #NorthernWhiteRhino #Extinction #Sad #HeartBreaking #ExtinctionIsForever","['repost', 'ripsudan', 'northernwhiterhino', 'extinction', 'sad', 'heartbreaking', 'extinctionisforever']",439,"['', 'Punah :(', '']"
69,elisabethtrision,Adiras Private Pool ,[],110,['Mannntapp benerrr....']
70,elisabethtrision,Happy 35th Wedding Anniversary Papa Mama ,[],451,[]
71,elisabethtrision,Merry Christmas ,[],456,"['Merry Christmas bundaa tayanggg', 'Pasangan fenomenal', 'cyucookk merry christmas kakakquhh', 'Follback ya kakkk']"
72,elisabethtrision,Aurora ,[],471,"['Sist umurnya 15th ya?', 'Cantik banget ', 'Parah geulissss!', 'liat tutorial sapa nich~~', 'Kaya ada cahaya cahaya nya gitu ya ', 'warna bibirnya gak nahan kak', 'Cantiknya bundaku']"
73,elisabethtrision,#YundaTurned23 ,['yundaturned23'],436,['']
74,elisabethtrision,A yearly routinity ,[],427,[]
75,elisabethtrision,"Happy Birthday kakak 
.
Terima kasih telah menjadi kakak yang bersedia memeluk dalam keadaan apapun ",[],427,['Iyalah.... wong kakak emng doyan meluk ']
