,Akun,Post,Tag,Likes,Comments
53,linggasuryaaa_,"
.
.
.
.
#lightroompresets #lightroomid #lightroomedit #paskibraka2019 #paskibra2019 #paskibhitz #pembarismasakini #pembarisjaktim #pembarisantibaper #pembarisgagah #pembariscantik #pembarisgantengcantik #smpn146","['lightroompresets', 'lightroomid', 'lightroomedit', 'paskibraka2019', 'paskibra2019', 'paskibhitz', 'pembarismasakini', 'pembarisjaktim', 'pembarisantibaper', 'pembarisgagah', 'pembariscantik', 'pembarisgantengcantik', 'smpn146']",125,"['Congratssss', 'Wiiii congrasst kang lingggaaa sukses terus yawww']"
54,linggasuryaaa_,"happy friday. .
.
.
.
#ootdmenforindo #ootdmenstyle #ootd #OOTD #lfl #fffb#lightroompresets #lightroomid #lightroomindonesia #picsartedit #picsart #uniqloindonesia #uniqlolifewear","['ootdmenforindo', 'ootdmenstyle', 'ootd', 'ootd', 'lfl', 'fffb', 'lightroompresets', 'lightroomid', 'lightroomindonesia', 'picsartedit', 'picsart', 'uniqloindonesia', 'uniqlolifewear']",117,"['Weeeet elaah ncank gakuku ga nana', 'Wew']"
55,linggasuryaaa_,"DangerrR: Indeks UV Ekstrim 
.
.
.
.
#ootdmenforindo #ootdmenstyle #ootd #OOTD #ootdfashion #lfl #fff #likeforlikes #lightroompresets #lightroomid #lightroomindonesia #lightroomcc","['ootdmenforindo', 'ootdmenstyle', 'ootd', 'ootd', 'ootdfashion', 'lfl', 'fff', 'likeforlikes', 'lightroompresets', 'lightroomid', 'lightroomindonesia', 'lightroomcc']",118,[]
56,linggasuryaaa_,"a funny storyY ; people think they knooO0w me Lol 
.
.
.
#respost #latepost #lightroompresets #lightroomid #lightroomedit #lightroomindonesia #lfl #fff #feeds #ootdmenforindo #ootdmenstyle #thefoodhall","['respost', 'latepost', 'lightroompresets', 'lightroomid', 'lightroomedit', 'lightroomindonesia', 'lfl', 'fff', 'feeds', 'ootdmenforindo', 'ootdmenstyle', 'thefoodhall']",123,[]
57,linggasuryaaa_,"Entah apa....
.
.
.
@unumdesign #unumfam
#lightroomid #lightroompreset #lfl #fff #lightroomedit #feeds #ootd #ootdmen","['unumfam', 'lightroomid', 'lightroompreset', 'lfl', 'fff', 'lightroomedit', 'feeds', 'ootd', 'ootdmen']",110,"['Yang merasuki mu!', 'Yang merasuki mu (kakkakkak) ceritanya gagak wkwk', 'Ngakak caption-nya', 'Yang merasuki mu, (kwak kwak kwak ) ']"
58,linggasuryaaa_,"Selamat hari selasa,
Buat kamu Yang diam diam aku suka 
.
.
.
.
#lightroomindonesia #lightroompresets #lfl #fff #lightroomtutorials #likeforlikes #lineart #feed #photoshop #photoshopindonesia","['lightroomindonesia', 'lightroompresets', 'lfl', 'fff', 'lightroomtutorials', 'likeforlikes', 'lineart', 'feed', 'photoshop', 'photoshopindonesia']",85,"['', 'Sabi2 caption nya om ', 'Tolong ya penggunaan huruf kapitalnya', 'Follback']"
59,linggasuryaaa_,"Weekday-freeday 
.
.
.
.
#lightroompresets #lightroomtutorials #lfl #fff #lightroom #photoshop #freds #feed #lightroomcc #lightroomindonesia","['lightroompresets', 'lightroomtutorials', 'lfl', 'fff', 'lightroom', 'photoshop', 'freds', 'feed', 'lightroomcc', 'lightroomindonesia']",92,['Gausah gaya gaya an kalo tugas belom!']
60,linggasuryaaa_,"Focus...
.
.
.
#lightroom #lightroomtutorials #lightroompresets #lfl #fff #feeds #feed #OOTD","['lightroom', 'lightroomtutorials', 'lightroompresets', 'lfl', 'fff', 'feeds', 'feed', 'ootd']",93,"['Stay focus ', 'Follback', '', 'Follback ya kaa']"
61,risyahf,,[],93,[]
62,risyahf,thanks twtr berkat anda mereka ber2 jd puny teman seperti saya thnks @rah.via yg motoin,[],175,"['absurd yh', 'kenapa gue kalo foto gapernah bener', 'gaada nayla:(((', 'Gaada aku']"
